Lessives.LVLb;Deodorants.ICOS1;EauDeToilette.ICOS2;ProdSoinCheveux.ICOS3;ProdSoinVisage.ICOS4;VernisOngleDissolv.ICOS5;NbPieceAvecProduitsChim.NQ142;NettoyantDeSurface.QPE1b;AutreNettoyants.QPE2b;DesodoAreosolVaporisateur.QPD1b;DesodoAutreEnsens.QPD2b;InsecticideAerosol.QPP1b;InsecticidePoudreBlocGel.QPP2b;NettoySolAspiration.QME1b;NettoySolBalaiSerp.QME2b;NettoyAutreQueSol.QME3b;CuissonFourTraditionnel.CUI1b;CuissonALeau.CUI2b;CuissonALaVapeur.CUI3b;CuissonParFriture.CUI4b;CuissonParGrillade.CUI5b;ACTIVITE;VoitureDansGarage.DGG3n;Fumeurs.FUMEURn;SechageLingeDansLogement.LVSBn;UtiliseSecheLinge.LVS4n;NettASecVetements.QNS1;PersExtPourMenage.AMN1n;TapisDescenteLitNeuf.QTA1n;NettASecTapisTissusmeuble.QTARIn;Plantes.QPV;Chiens.ANI21n;Chats.ANI22n;TraitementParasitesAnimaux.ANTCPn;HamsterCochonLapin.ANI25n;InsecticideBlatteFourmie.ULn;SortirOrduresExterieur.QOM1;OrduresDansPiece.QOM2n;EndroitStockageOrdures.QOM4;Bricolage.TMG6n;Jardinage.TMG7n;ProtMatelSimple.LIMHO0;ProtMatelImperm.LIMHO13;ProtMatelAntiAcariens.LIMHO23;ProtMatel.LIMHO4;TYPEHAB;NPVe1;HPRF;HSRF;MATER2;NIACe1;NSQ41e1;NSQ31e1;TMM1e1;TMM2e1;TMM3e1;TMMB1e1;TMMB2e1;TMMB3e1;TRM0e1;TRM1e1;TRM2e1;TRM3e1;TRM4e1;TRM5e1;TRM7e1;TRP0e1;TRP1e1;TRP2e1;TRP3e1;TRP5e1;TRS1e1;TRS2e1;TRS3e1;TRS4e1;TRS5e1;TRS6e1;TRS8e1;ACTP1;CHEM1;DBRI;DCA3e1;DGG2be1;FC316;FC812;FC9be11;FC9be12347;FC9be156;HCU11;HCU31;HCU323;HCU34;HPLBO;KCC1be1089;KCC1be11;KCC1be1234;KCC1be1567;KCC1be1555;KCC267;KCC34;KCC5;KEIU1;KEIU2;KVNT2e111;KVNT2e112;KVNT2e12;KVNT2e13;KVNT2e14;MATER017;MATER02;MATER03;MATER04;MATER056;REAB1;REAB23;REAB4;TYPELOG;Age;Revenus;Nb_Person;Nb_Enfants_inf_10;Nb_Enfants_sup_10;Sexe;Diplome_Max;Type_Prof;Occupation;Source_ppale_Res;Structure_menage;TYPEMEN;Formldéhyde
1,5;0;8;0,5;7;3,5;0;1;1;1;0;0;0;1;1;0;3,5;3,5;7;3,5;3,5;3,8;1;3;1;5;3;1;1;1;1;1;1;3;1;1;1;2;3;3;5;2;2;1;1;9;6;255;275;3;1914;0;1;0,86;0,22;0;0;0;0,75;0;0,75;0;0;0,14;0,14;0;0;0;0;1;0;0;0;0,83;0,75;0;0;0;1;2;2;3;1;2;2;1;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;2;2;1;0;0;2;1;1;1;1;1;1;1;2;1;2;63;2349;1;0;0;2;4;3;4;3;1;7;NA
1,5;7;14;3,5;7;1;1;3,5;0;0;14;0;0;1;3,5;3,5;7;3,5;3,5;0;0;3,2;4;3;2;5;3;1;1;2;2;1;1;3;1;1;1;2;3;5;1;1;1;1;1;4;4;250;65;1;1967;1;1;0,89;0;0,11;0;0;1;0;0;0;0;0;0,83;0,25;0;0,2;0;0,67;0;0;0;1;0,6;0;0;0;1;1;3;3;3;1;1;1;1;1;2;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;0;0;1;1;1;1;1;1;1;1;1;1;4;51;1799;4;0;0;1;3;6;1;1;2;1;14,23
3,5;14;14;7;7;0;1;0;0;0;0;0;0;3,5;3,5;1;0;3,5;0;0;0;7,35;4;2;2;5;2;1;1;1;3;1;1;3;2;2;1;2;3;5;1;2;2;1;2;1;5;230;120;1;1967;1;1;1;0;0;0,6;0;0;0;1;0;0;0;0;0;0;0;0;0,25;0;0;0,29;0,5;0;0,17;0;0;1;2;2;3;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;0;0;1;1;1;1;2;1;1;2;1;2;3;39;2349;6;0;2;1;3;6;1;1;3;1;7,16
3,5;17,5;14;0;3,5;0;1;1;0;3,5;0;0;0;1;3,5;0;3,5;3,5;3,5;0;0;4,25;1;3;2;5;3;1;1;1;3;1;1;3;2;1;2;2;3;4;1;1;1;1;1;3;5;250;190;2;1989;1;1;0,81;0,14;0,08;0;0,5;0,5;0;0,57;0;0,14;0;0;0;1;0;0;0;0;0;0;1;0;0,67;0;0;1;1;1;3;1;2;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;2;2;0;0;1;1;1;1;1;2;1;2;1;2;2;46;2349;2;0;0;2;4;6;1;1;3;4;13,36
3,5;14;7;0;7;0;1;1;1;0;0;0;0;1;3,5;1;3,5;3,5;0;0;0;4,45;1;2;2;5;3;1;1;1;2;2;1;2;1;1;1;2;3;4;1;2;2;1;1;4;5;250;44;2;1974;0;1;0,75;0,3;0;0;0;0,6;0;0,86;0;0;0;0,25;0;0,25;0,1;0;0,33;0;0,4;0;0,4;0;0,33;0;0;2;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;0;0;1;1;1;1;1;1;1;1;2;1;4;47;4249;2;0;0;2;4;4;1;1;3;1;17,12
3,5;7;10,5;1;7;0;1;3,5;0;0;14;0;14;1;3,5;1;3,5;1;7;0;0;4,65;4;3;2;5;3;1;1;1;2;1;1;1;1;1;2;2;3;1;5;2;2;1;1;7;5;240;91;1;1914;1;2;0,87;0,17;0;0;0,13;0,67;0;0,33;0;0;0;0,25;0;1;0;0;0;0;0,5;0;0,3;0;0;0;0;1;2;2;3;3;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;0;0;1;1;1;1;1;1;1;2;1;2;6;77;1799;2;0;0;2;1;6;4;3;3;7;13,32
1,5;0;0;3,5;7;1;0;1;0;7;0;0;14;0;1;0;3,5;3,5;0;0;3,5;2,1;1;3;2;5;3;1;1;1;2;1;1;3;1;2;1;2;1;1;3;1;1;1;1;4;3;280;70;1;1914;1;1;0,64;0;0,36;1;0;0;0,1;0,56;0;0;0;0,25;0;0;0;0;1;0;0;0;0,56;0,25;0;0;0;1;2;2;3;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;0;0;2;1;1;1;1;2;1;2;1;2;2;69;1799;1;0;0;1;4;2;4;3;1;7;7,95
1,5;0;7;10;7,5;7;0;1;0;0;14;0;0;0;1;0;1;3,5;3,5;1;0;3,2;4;1;1;5;3;2;1;1;3;1;1;3;1;1;1;2;3;3;1;2;2;1;1;7;5;250;120;1;1974;1;1;1;0;0;0;0,22;1;0,25;0,6;0;0,17;0;0,33;0;0;0;0;0,75;0,25;0;0;0,25;0;0;0;0;2;2;3;3;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;0;0;1;1;1;1;1;2;1;2;1;2;4;76;2349;2;0;0;1;1;3;4;3;3;7;NA
3,5;14;14;0;10,5;0;1;1;1;0;3,5;0;0;1;1;1;3,5;3,5;1;0;1;5,9;4;4;1;5;3;1;2;1;2;1;1;3;1;1;2;2;3;5;1;1;1;1;1;8;4;240;70;1;1981;1;0;1;0;0;0,2;0;0,8;0;1;0;0;0;0;0;0;0,33;0;0;0;0;0;0,67;0;0,17;0;0;1;1;3;3;3;2;1;1;1;2;2;1;2;1;1;2;1;1;1;1;1;2;1;1;2;1;0;0;1;1;1;2;2;1;1;1;2;1;3;38;1799;2;0;0;2;4;4;1;1;3;4;12,13
7;7;4;14;14;0;1;1;0;3,5;0;0;0;3,5;3,5;0;1;3,5;0;0;3,5;3,55;1;1;2;5;3;1;1;1;2;2;1;1;1;1;1;1;3;1;2;1;1;1;1;7;5;270;270;2;1914;0;1;1;0;0;0;0,2;0,75;0;0;0;0;0;0,86;0,2;0;0,17;0;0,8;0,17;0,75;0;0,25;0;0;0;0;2;2;1;3;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;2;1;0;0;2;1;1;1;1;1;1;1;2;1;2;35;4249;5;2;2;2;8;4;1;1;3;6;7,42
1,5;0;3,5;7;0;0;0;3,5;3,5;0;0;0;1;0;3,5;1;3,5;3,5;1;1;1;1,9;2;1;1;4;3;1;1;1;3;1;1;3;1;1;2;2;1;2;4;1;1;1;1;7;4;250;92;1;1914;1;0;0,63;0,3;0,07;0,57;0;0,5;0,17;0,43;0;0;0;0,2;0;0,5;0;0;0,5;0;0,4;0;0,29;0,2;0,25;0;0;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;0;0;1;1;1;1;1;2;1;2;1;2;2;75;2349;1;0;0;1;8;3;4;3;1;7;14,84
1,5;1;10,5;7;14;0;0;3,5;7;3,5;0;0;1;1;3,5;0;1;3,5;0;0;0;3,1;4;1;2;4;3;1;1;1;3;1;1;3;1;1;2;2;3;4;2;2;2;1;1;7;5;230;140;2;1989;0;1;1;0;0;1;0;0,5;0,17;0,8;0;0;0;0;0;0;0;0;0,86;0;0,33;0;0,5;0;0;0;0;1;2;1;1;2;2;2;1;1;1;2;2;1;2;1;1;1;2;1;1;1;1;2;2;2;2;0;0;1;1;1;1;1;1;1;1;2;1;2;73;2899;1;0;0;1;9;3;4;3;1;7;43,8
